hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
51,78,29,18,29,70,31,14,66,14,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,36,34,69,19,NA,NA,NA,NA,NA,NA,NA
26,31,27,6,NA,NA,NA,NA,NA,NA,NA,NA
97,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,49,12,86,NA,NA,NA,NA,NA,NA,NA,NA
17,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,29,24,69,18,36,50,21,16,41,52,NA
1,12,67,35,NA,NA,NA,NA,NA,NA,NA,NA
24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,68,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,53,24,37,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,76,6,16,NA,NA,NA,NA,NA,NA,NA,NA
23,44,49,4,84,NA,NA,NA,NA,NA,NA,NA
73,83,18,68,10,23,19,NA,NA,NA,NA,NA
51,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,47,84,31,35,30,22,18,77,47,89,NA
35,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,49,52,24,NA,NA,NA,NA,NA,NA,NA,NA
46,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,72,89,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,33,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,50,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,19,13,22,5,NA,NA,NA,NA,NA,NA,NA
26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,18,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,46,90,23,37,NA,NA,NA,NA,NA,NA,NA
9,14,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,37,5,28,NA,NA,NA,NA,NA,NA,NA,NA
50,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,31,27,19,16,7,70,NA,NA,NA,NA,NA
16,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,42,23,30,NA,NA,NA,NA,NA,NA,NA,NA
24,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,23,37,4,NA,NA,NA,NA,NA,NA,NA,NA
20,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,43,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,27,83,31,78,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,23,65,20,NA,NA,NA,NA,NA,NA,NA,NA
28,82,40,35,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,38,50,22,NA,NA,NA,NA,NA,NA,NA,NA
49,53,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,89,81,31,NA,NA,NA,NA,NA,NA,NA,NA
46,17,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,87,10,7,NA,NA,NA,NA,NA,NA,NA,NA
54,69,79,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,9,36,19,NA,NA,NA,NA,NA,NA,NA,NA
23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
