hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,49,38,88,NA,NA,NA,NA,NA,NA,NA,NA
55,35,36,50,55,23,NA,NA,NA,NA,NA,NA
66,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,67,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,40,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,25,30,77,NA,NA,NA,NA,NA,NA,NA,NA
81,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,29,74,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,47,4,47,NA,NA,NA,NA,NA,NA,NA,NA
21,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,60,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,29,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,52,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,10,3,15,NA,NA,NA,NA,NA,NA,NA,NA
49,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,17,61,23,63,88,10,NA,NA,NA,NA,NA
21,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
