hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,83,9,9,NA,NA,NA,NA,NA,NA,NA,NA
21,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,57,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,15,79,50,4,20,10,35,67,53,32,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,76,37,80,NA,NA,NA,NA,NA,NA,NA,NA
10,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,21,24,19,NA,NA,NA,NA,NA,NA,NA,NA
29,22,43,26,38,NA,NA,NA,NA,NA,NA,NA
39,8,73,30,61,NA,NA,NA,NA,NA,NA,NA
61,5,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,64,53,1,NA,NA,NA,NA,NA,NA,NA,NA
12,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,6,22,5,19,NA,NA,NA,NA,NA,NA,NA
11,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
