hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,84,3,82,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,65,19,23,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,44,31,49,NA,NA,NA,NA,NA,NA,NA,NA
69,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,65,79,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,75,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,72,37,30,35,NA,NA,NA,NA,NA,NA,NA
21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,39,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
