hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
15,48,51,23,22,NA,NA,NA,NA,NA,NA,NA
19,36,68,10,NA,NA,NA,NA,NA,NA,NA,NA
17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,71,13,17,NA,NA,NA,NA,NA,NA,NA,NA
21,49,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,38,9,83,NA,NA,NA,NA,NA,NA,NA,NA
66,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,68,33,5,NA,NA,NA,NA,NA,NA,NA,NA
54,11,3,81,NA,NA,NA,NA,NA,NA,NA,NA
21,69,16,73,12,9,94,71,NA,NA,NA,NA
21,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,41,28,19,74,NA,NA,NA,NA,NA,NA,NA
52,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,71,68,87,NA,NA,NA,NA,NA,NA,NA,NA
18,81,9,26,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,24,1,46,NA,NA,NA,NA,NA,NA,NA,NA
15,68,53,29,NA,NA,NA,NA,NA,NA,NA,NA
70,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,91,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,10,1,45,NA,NA,NA,NA,NA,NA,NA,NA
23,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,66,28,30,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,43,65,35,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,50,38,16,NA,NA,NA,NA,NA,NA,NA,NA
65,11,50,68,70,NA,NA,NA,NA,NA,NA,NA
24,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,52,83,8,NA,NA,NA,NA,NA,NA,NA,NA
47,35,15,9,NA,NA,NA,NA,NA,NA,NA,NA
25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,77,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,66,34,8,NA,NA,NA,NA,NA,NA,NA,NA
21,15,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,13,2,7,NA,NA,NA,NA,NA,NA,NA,NA
