hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
48,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,19,47,73,50,39,47,11,NA,NA,NA
69,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,85,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,16,19,19,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,32,87,31,NA,NA,NA,NA,NA,NA,NA,NA
23,13,29,28,NA,NA,NA,NA,NA,NA,NA,NA
45,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,65,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,37,43,88,18,72,16,76,51,22,NA,NA
17,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,52,14,24,NA,NA,NA,NA,NA,NA,NA,NA
22,78,38,26,NA,NA,NA,NA,NA,NA,NA,NA
29,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,67,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
