hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
53,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,48,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,38,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,34,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,72,74,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,89,38,7,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,26,31,57,NA,NA,NA,NA,NA,NA,NA,NA
27,34,12,67,NA,NA,NA,NA,NA,NA,NA,NA
29,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,53,26,37,NA,NA,NA,NA,NA,NA,NA,NA
57,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,64,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,30,35,76,NA,NA,NA,NA,NA,NA,NA,NA
38,37,21,55,NA,NA,NA,NA,NA,NA,NA,NA
37,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,46,37,69,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25,64,64,NA,NA,NA,NA,NA,NA,NA,NA
14,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,33,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,65,66,50,NA,NA,NA,NA,NA,NA,NA,NA
3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,48,91,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,48,13,30,NA,NA,NA,NA,NA,NA,NA,NA
7,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,46,50,32,29,NA,NA,NA,NA,NA,NA,NA
48,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,31,41,54,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,34,44,26,1,NA,NA,NA,NA,NA,NA,NA
74,37,13,4,NA,NA,NA,NA,NA,NA,NA,NA
28,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,32,77,6,NA,NA,NA,NA,NA,NA,NA,NA
38,78,54,80,NA,NA,NA,NA,NA,NA,NA,NA
9,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,24,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,41,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,2,81,30,NA,NA,NA,NA,NA,NA,NA,NA
79,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,26,51,35,38,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,63,46,51,NA,NA,NA,NA,NA,NA,NA,NA
