hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
42,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,68,19,72,17,16,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,13,88,8,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,22,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,54,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,35,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,17,54,69,NA,NA,NA,NA,NA,NA,NA,NA
16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,37,19,27,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,32,22,15,25,50,21,NA,NA,NA,NA,NA
13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,47,48,20,43,NA,NA,NA,NA,NA,NA,NA
67,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,19,24,77,NA,NA,NA,NA,NA,NA,NA,NA
20,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,16,52,9,NA,NA,NA,NA,NA,NA,NA,NA
37,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,27,2,8,NA,NA,NA,NA,NA,NA,NA,NA
2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,37,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,68,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,54,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,42,38,51,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,22,43,16,NA,NA,NA,NA,NA,NA,NA,NA
18,69,18,13,15,53,36,32,69,10,2,50
40,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,43,30,35,NA,NA,NA,NA,NA,NA,NA,NA
54,68,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,29,75,12,NA,NA,NA,NA,NA,NA,NA,NA
33,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,33,19,83,88,NA,NA,NA,NA,NA,NA,NA
26,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,99,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,70,20,14,NA,NA,NA,NA,NA,NA,NA,NA
7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,87,80,20,71,37,14,48,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,70,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,46,91,19,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,54,67,37,73,NA,NA,NA,NA,NA,NA,NA
15,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,40,22,18,16,11,71,NA,NA,NA,NA,NA
33,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,94,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,16,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,9,38,36,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,32,15,15,5,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,28,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,23,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,45,49,42,0,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,47,16,45,41,53,34,51,17,NA,NA,NA
26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,25,51,67,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,23,94,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,81,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,50,23,68,26,NA,NA,NA,NA,NA,NA,NA
76,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,22,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,32,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,17,25,8,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,77,79,83,19,NA,NA,NA,NA,NA,NA,NA
16,73,71,74,NA,NA,NA,NA,NA,NA,NA,NA
21,86,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,22,38,47,NA,NA,NA,NA,NA,NA,NA,NA
52,5,84,49,NA,NA,NA,NA,NA,NA,NA,NA
3,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,24,7,52,NA,NA,NA,NA,NA,NA,NA,NA
19,46,22,28,39,NA,NA,NA,NA,NA,NA,NA
39,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,80,82,6,65,NA,NA,NA,NA,NA,NA,NA
29,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,72,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,10,21,30,87,41,37,44,47,71,NA,NA
8,49,21,48,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,11,67,21,NA,NA,NA,NA,NA,NA,NA,NA
46,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,54,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2,19,6,6,43,0,66,23,81,25,NA
11,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,23,45,32,38,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,21,66,26,NA,NA,NA,NA,NA,NA,NA,NA
3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,26,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,19,27,31,NA,NA,NA,NA,NA,NA,NA,NA
32,77,86,4,31,19,78,22,74,19,40,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,19,16,32,NA,NA,NA,NA,NA,NA,NA,NA
5,7,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,8,26,81,NA,NA,NA,NA,NA,NA,NA,NA
47,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,45,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,67,39,38,3,33,27,16,50,29,20,67
21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,52,26,19,78,NA,NA,NA,NA,NA,NA,NA
27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,70,81,69,29,NA,NA,NA,NA,NA,NA,NA
10,30,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,38,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,73,17,51,11,NA,NA,NA,NA,NA,NA,NA
99,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,5,41,20,NA,NA,NA,NA,NA,NA,NA,NA
75,15,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,39,30,11,NA,NA,NA,NA,NA,NA,NA,NA
14,76,14,72,NA,NA,NA,NA,NA,NA,NA,NA
12,70,13,71,86,9,16,50,8,18,42,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,68,35,22,37,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,32,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,22,70,36,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,76,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,45,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,53,17,65,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,15,1,35,NA,NA,NA,NA,NA,NA,NA,NA
10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,11,7,24,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,15,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,8,41,46,NA,NA,NA,NA,NA,NA,NA,NA
81,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,53,83,65,NA,NA,NA,NA,NA,NA,NA,NA
31,44,14,45,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,22,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,26,30,23,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,74,51,23,52,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,29,66,49,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,32,49,29,NA,NA,NA,NA,NA,NA,NA,NA
38,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,16,31,18,NA,NA,NA,NA,NA,NA,NA,NA
79,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,34,20,69,NA,NA,NA,NA,NA,NA,NA,NA
84,65,52,26,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
