hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
22,60,54,53,NA,NA,NA,NA,NA,NA,NA,NA
14,57,37,69,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,72,4,64,NA,NA,NA,NA,NA,NA,NA,NA
58,68,12,50,NA,NA,NA,NA,NA,NA,NA,NA
64,77,44,57,NA,NA,NA,NA,NA,NA,NA,NA
55,12,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,60,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,56,40,42,NA,NA,NA,NA,NA,NA,NA,NA
42,5,55,45,NA,NA,NA,NA,NA,NA,NA,NA
40,50,49,45,28,24,61,42,45,44,15,68
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,43,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,71,59,16,NA,NA,NA,NA,NA,NA,NA,NA
20,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,37,90,62,NA,NA,NA,NA,NA,NA,NA,NA
42,50,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,67,18,20,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,52,7,56,NA,NA,NA,NA,NA,NA,NA,NA
75,28,22,50,NA,NA,NA,NA,NA,NA,NA,NA
58,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,62,53,51,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,55,36,2,77,NA,NA,NA,NA,NA,NA,NA
47,67,16,12,NA,NA,NA,NA,NA,NA,NA,NA
58,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,18,62,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,79,82,60,47,NA,NA,NA,NA,NA,NA,NA
23,14,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,33,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,43,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,63,44,84,NA,NA,NA,NA,NA,NA,NA,NA
51,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,50,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,28,82,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,68,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,52,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,18,42,69,69,NA,NA,NA,NA,NA,NA,NA
77,57,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,58,58,14,68,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,41,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,21,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,43,26,61,9,NA,NA,NA,NA,NA,NA,NA
28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,25,75,2,NA,NA,NA,NA,NA,NA,NA,NA
44,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,47,75,77,NA,NA,NA,NA,NA,NA,NA,NA
67,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,52,38,27,NA,NA,NA,NA,NA,NA,NA,NA
53,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,42,79,44,NA,NA,NA,NA,NA,NA,NA,NA
55,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,36,40,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,55,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,17,43,72,NA,NA,NA,NA,NA,NA,NA,NA
73,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,62,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
