hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,52,56,56,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,78,40,1,31,NA,NA,NA,NA,NA,NA,NA
92,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,44,36,58,NA,NA,NA,NA,NA,NA,NA,NA
2,38,22,39,9,17,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,42,12,44,21,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,27,58,71,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
