hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
9,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,53,2,61,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,44,22,39,NA,NA,NA,NA,NA,NA,NA,NA
80,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,43,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,65,69,43,NA,NA,NA,NA,NA,NA,NA,NA
6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,21,39,69,NA,NA,NA,NA,NA,NA,NA,NA
12,44,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,58,32,35,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,31,61,47,NA,NA,NA,NA,NA,NA,NA,NA
5,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,33,15,3,NA,NA,NA,NA,NA,NA,NA,NA
5,7,65,28,NA,NA,NA,NA,NA,NA,NA,NA
27,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,64,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,45,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,63,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,30,65,23,NA,NA,NA,NA,NA,NA,NA,NA
34,40,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,50,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,50,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,10,42,28,NA,NA,NA,NA,NA,NA,NA,NA
39,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,24,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,44,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,24,24,17,NA,NA,NA,NA,NA,NA,NA,NA
6,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,39,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,57,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,60,44,83,47,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,51,53,29,NA,NA,NA,NA,NA,NA,NA,NA
18,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,10,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,35,22,79,NA,NA,NA,NA,NA,NA,NA,NA
60,69,65,26,38,NA,NA,NA,NA,NA,NA,NA
0,25,5,79,NA,NA,NA,NA,NA,NA,NA,NA
